developer,price,Año
"JCR Soft Co., Ltd",0.0,2014
"JCR Soft Co., Ltd",0.0,2014
"JCR Soft Co., Ltd",0.0,2014
Joycity,0.0,2017
Joycity,0.0,2015
"KADOKAWA,Yoji Ojima,Studio Saizensen",0.0,2016
"KADOKAWA,Yoji Ojima,Studio Saizensen",0.0,2016
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2015
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2014
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2016
"KOEI TECMO GAMES CO., LTD.",0.0,2014
"KOEI TECMO GAMES CO., LTD.",0.0,2014
"KOEI TECMO GAMES CO., LTD.",0.0,2014
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2014
"KOEI TECMO GAMES CO., LTD.",0.0,2014
"KOEI TECMO GAMES CO., LTD.",0.0,2017
"KOEI TECMO GAMES CO., LTD.",0.0,2014
KURONEKO SOFT,0.0,0
KURONEKO SOFT,0.0,2014
Keinart Lobre,0.0,2016
Keinart Lobre,0.0,2016
Kiz Studios,0.0,2015
Kiz Studios,0.0,2016
Kiz Studios,0.0,2017
Krillbite Studio,0.0,2014
Krillbite Studio,0.0,2013
Krillbite Studio,0.0,2014
L. Stotch,0.0,2016
L. Stotch,0.0,2016
LEVER Software,0.0,0
LEVER Software,0.0,2016
Laminar Research,0.0,2014
Laminar Research,0.0,2017
Laminar Research,0.0,2017
Laminar Research,0.0,2014
Laminar Research,0.0,2014
Laminar Research,0.0,2017
Laminar Research,0.0,2014
Laminar Research,0.0,2014
Laminar Research,0.0,2014
Laminar Research,0.0,2017
Laminar Research,0.0,2017
Laminar Research,0.0,2017
Leadwerks Software,0.0,2015
Leadwerks Software,0.0,2014
Lightbulb Crew,0.0,2015
Lightbulb Crew,0.0,2015
Lightbulb Crew,0.0,2015
Lightbulb Crew,0.0,2015
Lightbulb Crew,0.0,2017
"Lion Game Lion,OVERKILL - a Starbreeze Studio.",0.0,2015
"Lion Game Lion,OVERKILL - a Starbreeze Studio.",0.0,2015
"Lion Game Lion,OVERKILL - a Starbreeze Studio.",0.0,2015
"Lion Game Lion,OVERKILL - a Starbreeze Studio.",0.0,2015
Llama Software,0.0,2017
Llama Software,0.0,2017
Llama Software,0.0,2017
Lonely Troops,0.0,2006
Lonely Troops,0.0,0
Ludomotion,0.0,2017
Ludomotion,0.0,2017
Ludomotion,0.0,2017
MAGIX Software GmbH,0.0,2015
MAGIX Software GmbH,0.0,2014
MDickie,0.0,0
MDickie,0.0,2017
"Manuel Pazos,Daniel Celemín",0.0,2016
"Manuel Pazos,Daniel Celemín",0.0,2016
Matthew Brown,0.0,2015
Matthew Brown,0.0,2014
MercurySteam,0.0,2017
MercurySteam,0.0,2014
Michael Zahniser,0.0,2015
Michael Zahniser,0.0,2015
Milestone S.r.l.,0.0,2017
Milestone S.r.l.,0.0,2015
Milestone S.r.l.,0.0,2014
Milestone S.r.l.,0.0,2017
Milestone S.r.l.,0.0,2017
Milestone S.r.l.,0.0,2017
Milestone S.r.l.,0.0,2017
Milestone S.r.l.,0.0,2015
Milestone S.r.l.,0.0,2017
Milestone S.r.l.,0.0,2016
Milestone S.r.l.,0.0,2017
Minor Key Games,0.0,2012
Minor Key Games,0.0,2014
Minor Key Games,0.0,2015
Mixamo,0.0,2015
Mixamo,0.0,2013
